label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
21: 1.0,euclidean,Maiores Distancias,0.23696760090995833,0.058678731611551446,0.10058249035534524,0.07092745422385224,0.0011740366617838541,0.003527252769311054
21: 1.0,euclidean,KMeans,0.34176209239214955,0.0,0.20027150225724547,0.0,0.00020322004954020182,0.0007164977528197893
22: 1.0,manhattan,Maiores Distancias,0.2437113678709876,0.03697535721288796,0.09005017219536554,0.0507679534396914,0.0005454699198404948,0.0028343626385509356
22: 1.0,manhattan,KMeans,0.331706422778171,0.0,0.1955713585948707,0.0,0.0016656001408894858,0.004851882016140954
22: 1.0,euclidean,Maiores Distancias,0.26233038058557095,0.027894106102706387,0.11666831095159448,0.05903468975602671,0.0005165894826253255,0.00232740152448193
22: 1.0,euclidean,KMeans,0.32883226411387134,0.0,0.1955713585948707,0.0,0.002760767936706543,0.005872467366268411
23: 1.0,manhattan,Maiores Distancias,0.23935281368279415,0.040040906052167306,0.07838790300708495,0.0499778642699319,0.0009580294291178386,0.0033704694425610625
23: 1.0,manhattan,KMeans,0.35202917423656516,0.0,0.1898452406013139,0.0,0.0033149480819702148,0.006626461609355694
23: 1.0,euclidean,Maiores Distancias,0.24610602707689094,0.035618569098956936,0.058216292042346636,0.05523774228957708,0.0005219380060831705,0.0028587721955102116
23: 1.0,euclidean,KMeans,0.34709770883592267,0.0,0.1898452406013139,0.0,0.0011388381322224935,0.003844337452303751
24: 1.0,manhattan,Maiores Distancias,0.2656343447197333,0.056043283503573134,0.1733845206427244,0.08724992402080783,0.0010685364405314127,0.003527361116416114
24: 1.0,manhattan,KMeans,0.4029484348548367,0.0,0.3882698796131187,0.0,0.002252976099650065,0.005383858680777937
24: 1.0,euclidean,Maiores Distancias,0.306736833272896,0.06750839980816356,0.22160786836652138,0.10330259922848428,0.0005532662073771159,0.002429892892736583
24: 1.0,euclidean,KMeans,0.3935572859513582,0.0,0.3882698796131187,0.0,0.002318890889485677,0.005476020605625953
25: 1.0,manhattan,Maiores Distancias,0.27285461812195355,0.04571140073613622,0.2169189197103877,0.0774553608781742,0.0001180410385131836,0.0003679741788459835
25: 1.0,manhattan,KMeans,0.36507138932466976,0.0,0.4115924430730939,0.0,0.0007074276606241862,0.002546323425006656
25: 1.0,euclidean,Maiores Distancias,0.2929206126717963,0.046840767808580396,0.20724394476888547,0.08952101628744309,0.0010683298110961913,0.0038652849391306904
25: 1.0,euclidean,KMeans,0.35794183408623137,0.0,0.4115924430730939,0.0,0.0017192522684733073,0.004735503043536698
