Dataset,Distance,Radius,Algorithm,Silhouette Score,Adjusted Rand Index,Execution Time
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.22784945178249838,0.038169140070195624,0.004282956999986709
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.25646037421047074,0.027909090063642103,0.004561348000038379
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.26346642938888076,0.028317471626421415,0.005126989000018511
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.15104038840861678,0.031039975745782714,0.00571521799997754
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.1976254235757926,0.027169095825503517,0.005455981999944015
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.14366921308976272,0.030563453666992965,0.005603294000025016
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.23358782988955912,0.029657234861850634,0.004937527000038244
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.2679615362175501,0.024013560599777575,0.004434062999962407
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.34324391201836607,0.03042395367766159,0.00489461899996968
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.18505351341968868,0.019018543684363634,0.004821140999979434
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,3,0.24371066690777288,0.02402953078449764,0.0038327759999674527
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 2,3,0.19558213179195577,0.03353511439257821,0.06570763399997759
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.284525452861841,0.03167737146749965,0.004828246999977637
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,4,0.2727929213206413,0.02654919953671339,0.004509987000005822
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.21093171250603268,0.030269334093436018,0.004573305000008077
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.3033967013695145,0.013747467738350831,0.005419381000024259
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.24899745856131764,0.02779651493022817,0.004605636999940543
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.24527041275770992,0.03144583123264015,0.005338796999922124
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.14324624729490562,0.04051741210592374,0.004898498999978074
abstenteeism_at_work,manhattan,19.198289553673906,Busca Binaria 1,4,0.24332915381051742,0.02346964216075777,0.005311343000016677
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.30602478721084964,0.024676061620535383,0.00612237500001811
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.19341993812045852,0.028539920914937497,0.005897548000007191
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.18853825916976932,0.0288788930405259,0.005481552999981432
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.2440764577563926,0.02745329801519848,0.005573377000018809
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.2596264442460889,0.0257396221746971,0.005578452999998262
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.26518765487954277,0.026237139281644777,0.0052440129999240526
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.19204802414061156,0.023530010082158655,0.004842937000034908
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.23243840070841162,0.04192010689447652,0.005980228999987958
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.22156792250091722,0.020617893609519978,0.00503657900003418
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.2895118560006,0.02754861779697355,0.005207217000020137
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.24559379520469732,0.02465464492405347,0.005259453999997277
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.2365982663200009,0.02791231838544499,0.004737112999919191
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.24080584034260008,0.022979865610641956,0.005156590000069627
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.22351772164609313,0.024721278961178376,0.005141059000038695
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.2835133344544925,0.025719238442054537,0.005616759999952592
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.19346061440577506,0.0337690344971483,0.007211079000057907
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.24313666387757005,0.029905675762832234,0.004533448999950451
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.27375403445930424,0.02474207657459409,0.005634797999960028
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.27402652087416673,0.027941527713201467,0.004253201999972589
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.23554729203037256,0.022353058647025848,0.006150957999921047
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.2447780577526864,0.030742363477425715,0.005713388999993185
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,4,0.22300359066539072,0.0342369083090893,0.005973399000026802
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 2,4,0.17603650352983055,0.028518609426056357,0.06786236400000689
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.251448405065266,0.03334970602095064,0.006534702000067227
abstenteeism_at_work,manhattan,18.51263635532841,Busca Binaria 1,5,0.22584145041149267,0.030801509451498135,0.00576063999994858
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.2884671031565033,0.02904862597032465,0.0064545860000180255
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.24808470501072294,0.024283362883810538,0.0062152130000185934
abstenteeism_at_work,manhattan,17.141329958637414,Busca Binaria 1,5,0.2214812463666208,0.02086356953564514,0.006556513000077757
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.24432029731273486,0.020779506778063794,0.0053195130000176505
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.2696043172797272,0.03291481140626902,0.0055443610000338595
abstenteeism_at_work,manhattan,18.51263635532841,Busca Binaria 1,5,0.22048267494930687,0.026108218545514844,0.00556246199994348
abstenteeism_at_work,manhattan,17.141329958637414,Busca Binaria 1,5,0.31144563790010227,0.03368531207051595,0.005678488000057769
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.23903334133886953,0.024264901308499218,0.005201734000024771
abstenteeism_at_work,manhattan,18.51263635532841,Busca Binaria 1,5,0.16977646696448365,0.0296017451707102,0.0066010189999587965
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.2429150706409086,0.024775669012108963,0.005222911000032582
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.21795046286745712,0.018969739372895845,0.005303361000073892
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.2363399437944747,0.02856473010522365,0.0058588300000792515
abstenteeism_at_work,manhattan,17.826983156982912,Busca Binaria 1,5,0.19405930394122298,0.027878164134577645,0.006297143000097094
